temperature,feeling_temp
3.28,3.0014
2.34,1.9982
2.34,1.9982
3.28,3.0014
3.28,3.0014
3.28,1.0016
2.34,1.9982
1.4,1.0016
3.28,3.0014
7.04,7.001
9.86,9.9974
8.92,5.9978
11.74,11.9972
13.62,13.997
13.62,13.997
12.68,13.0004
11.74,11.9972
12.68,13.0004
11.74,11.9972
11.74,11.9972
10.8,11.0006
10.8,11.0006
10.8,11.0006
13.62,13.997
13.62,13.997
12.68,13.0004
11.74,11.9972
13.62,13.997
13.62,13.997
11.74,11.9972
10.8,11.0006
10.8,11.0006
9.86,9.9974
8.92,7.001
8.92,5.9978
8.92,5.9978
8.92,7.001
8.92,7.001
7.98,5.9978
7.98,5.9978
7.98,5.9978
8.92,5.9978
7.04,3.0014
6.1,1.9982
4.22,-0.9982
3.28,-2.0014
2.34,-0.9982
2.34,-2.998
1.4,-4.9978
-0.48,-6.9976
-0.48,-6.9976
-1.42,-8.9974
-1.42,-6.9976
-1.42,-8.0008
-0.48,-6.9976
0.46,-4.9978
1.4,-4.0012
2.34,-2.0014
3.28,-2.0014
4.22,-0.0016
4.22,-0.0016
4.22,-0.0016
3.28,-0.9982
3.28,1.0016
1.4,1.0016
1.4,-0.9982
0.46,-2.998
-1.42,-6.001
0.46,-2.0014
-0.48,-4.0012
-0.48,-4.0012
-1.42,-6.001
-1.42,-4.0012
-2.36,-6.001
-2.36,-6.001
-2.36,-6.001
-1.42,-6.001
-0.48,-6.001
-0.48,-6.9976
2.34,-2.0014
2.34,-0.9982
3.28,-0.9982
4.22,1.0016
5.16,1.9982
6.1,3.0014
5.16,1.9982
4.22,1.0016
3.28,1.0016
3.28,1.0016
2.34,1.9982
2.34,1.0016
1.4,-0.9982
1.4,1.0016
-0.48,-2.998
-0.48,-2.998
3.28,-0.9982
2.34,-0.9982
1.4,-2.998
0.46,-4.0012
1.4,-4.0012
2.34,-2.998
2.34,-2.998
4.22,-0.9982
4.22,-0.9982
5.16,1.0016
6.1,3.0014
6.1,3.0014
6.1,5.0012
3.28,-0.9982
3.28,-0.0016
3.28,1.0016
2.34,-0.9982
1.4,-2.998
0.46,-2.998
1.4,1.0016
0.46,-0.0016
-0.48,-0.9982
-0.48,-0.9982
-0.48,-2.998
-1.42,-4.0012
-1.42,-4.9978
-0.48,-0.9982
-0.48,-0.9982
0.46,-0.0016
1.4,1.0016
2.34,1.0016
4.22,3.0014
4.22,1.9982
5.16,1.9982
5.16,1.9982
4.22,1.0016
2.34,-0.9982
2.34,-0.9982
2.34,1.0016
1.4,-2.0014
2.34,-2.0014
2.34,-2.0014
1.4,-2.998
1.4,-2.998
1.4,-2.998
1.4,-2.998
1.4,-2.0014
2.34,1.9982
1.4,1.0016
1.4,-2.0014
1.4,-2.998
1.4,-4.0012
2.34,-2.998
1.4,-2.998
1.4,-2.998
1.4,-4.0012
1.4,-2.998
1.4,-2.0014
1.4,-2.0014
1.4,1.0016
1.4,-0.9982
-0.48,-2.998
0.46,-2.0014
0.46,-2.998
0.46,-2.998
0.46,-2.998
0.46,-2.998
0.46,-2.0014
0.46,-0.0016
0.46,-2.998
0.46,-2.998
-0.48,-4.9978
-0.48,-4.9978
-0.48,-4.0012
-0.48,-4.0012
-0.48,-4.0012
0.46,-2.998
1.4,-4.0012
1.4,-4.0012
1.4,-4.0012
1.4,-4.9978
1.4,-4.9978
0.46,-6.9976
-0.48,-8.0008
-1.42,-8.0008
-1.42,-8.0008
-2.36,-8.0008
-2.36,-8.9974
-2.36,-8.9974
-3.3,-12.0004
-3.3,-10.9972
-3.3,-12.0004
-3.3,-12.0004
-3.3,-10.9972
-4.24,-10.0006
-4.24,-10.0006
-3.3,-10.0006
-4.24,-10.0006
-3.3,-10.0006
-2.36,-10.9972
-1.42,-8.9974
-0.48,-8.0008
0.46,-6.9976
1.4,-4.9978
2.34,-4.0012
2.34,-2.998
1.4,-4.9978
0.46,-6.001
-0.48,-6.9976
-0.48,-6.9976
-1.42,-8.0008
-1.42,-8.9974
-1.42,-8.0008
-2.36,-6.9976
-2.36,-8.0008
-2.36,-8.0008
-2.36,-8.0008
-2.36,-8.0008
-3.3,-8.0008
