gw_paint_fid,casual,temperature,registered,hour,feeling_temp
L_1,3,3.28,13,0,3.0014
L_1,8,2.34,32,1,1.9982
L_1,5,2.34,27,2,1.9982
L_1,3,3.28,10,3,3.0014
L_1,0,3.28,1,4,3.0014
L_1,0,3.28,1,5,1.0016
L_1,2,2.34,0,6,1.9982
L_1,1,1.4,2,7,1.0016
L_1,1,3.28,7,8,3.0014
L_1,8,7.04,6,9,7.001
L_1,12,9.86,24,10,9.9974
L_1,26,8.92,30,11,5.9978
L_1,29,11.74,55,12,11.9972
L_1,47,13.62,47,13,13.997
L_1,35,13.62,71,14,13.997
L_1,40,12.68,70,15,13.0004
L_1,41,11.74,52,16,11.9972
L_1,15,12.68,52,17,13.0004
L_1,9,11.74,26,18,11.9972
L_1,6,11.74,31,19,11.9972
L_1,11,10.8,25,20,11.0006
L_1,3,10.8,31,21,11.0006
L_1,11,10.8,17,22,11.0006
L_1,15,13.62,24,23,13.997
L_1,4,13.62,13,0,13.997
L_1,1,12.68,16,1,13.0004
L_1,1,11.74,8,2,11.9972
L_1,2,13.62,4,3,13.997
L_1,2,13.62,1,4,13.997
L_1,0,11.74,2,6,11.9972
L_1,0,10.8,1,7,11.0006
L_1,0,10.8,8,8,11.0006
L_1,1,9.86,19,9,9.9974
L_1,7,8.92,46,10,7.001
L_1,16,8.92,54,11,5.9978
L_1,20,8.92,73,12,5.9978
L_1,11,8.92,64,13,7.001
L_1,4,8.92,55,14,7.001
L_1,19,7.98,55,15,5.9978
L_1,9,7.98,67,16,5.9978
L_1,7,7.98,58,17,5.9978
L_1,10,8.92,43,18,5.9978
L_1,1,7.04,29,19,3.0014
L_1,5,6.1,17,20,1.9982
L_1,11,4.22,20,21,-0.9982
L_1,0,3.28,9,22,-2.0014
L_1,0,2.34,8,23,-0.9982
L_1,0,2.34,5,0,-2.998
L_1,0,1.4,2,1,-4.9978
L_1,0,-0.48,1,4,-6.9976
L_1,0,-0.48,3,5,-6.9976
L_1,0,-1.42,30,6,-8.9974
L_1,1,-1.42,63,7,-6.9976
L_1,1,-1.42,153,8,-8.0008
L_1,7,-0.48,81,9,-6.9976
L_1,11,0.46,33,10,-4.9978
L_1,10,1.4,41,11,-4.0012
L_1,13,2.34,48,12,-2.0014
L_1,8,3.28,53,13,-2.0014
L_1,11,4.22,66,14,-0.0016
L_1,14,4.22,58,15,-0.0016
L_1,9,4.22,67,16,-0.0016
L_1,11,3.28,146,17,-0.9982
L_1,9,3.28,148,18,1.0016
L_1,8,1.4,102,19,1.0016
L_1,3,1.4,49,20,-0.9982
L_1,3,0.46,49,21,-2.998
