date,month,season,hour,year,holiday,temperature,feeling_temp,humidity,winspeed,casual,registered,count,daytime,dayofweek,workingday
2011-01-01,1,winter,0,2011,no,3.28,3.0014,81,0,3,13,16,am,6,0
2011-01-01,1,winter,1,2011,no,2.34,1.9982,80,0,8,32,40,am,6,0
2011-01-01,1,winter,2,2011,no,2.34,1.9982,80,0,5,27,32,am,6,0
2011-01-01,1,winter,3,2011,no,3.28,3.0014,75,0,3,10,13,am,6,0
2011-01-01,1,winter,4,2011,no,3.28,3.0014,75,0,0,1,1,am,6,0
2011-01-01,1,winter,5,2011,no,3.28,1.0016,75,6.0032,0,1,1,am,6,0
2011-01-01,1,winter,6,2011,no,2.34,1.9982,80,0,2,0,2,am,6,0
2011-01-01,1,winter,7,2011,no,1.4,1.0016,86,0,1,2,3,am,6,0
2011-01-01,1,winter,8,2011,no,3.28,3.0014,75,0,1,7,8,am,6,0
2011-01-01,1,winter,9,2011,no,7.04,7.001,76,0,8,6,14,am,6,0
2011-01-01,1,winter,10,2011,no,9.86,9.9974,76,16.9979,12,24,36,am,6,0
2011-01-01,1,winter,11,2011,no,8.92,5.9978,81,19.0012,26,30,56,am,6,0
2011-01-01,1,winter,12,2011,no,11.74,11.9972,77,19.0012,29,55,84,am,6,0
2011-01-01,1,winter,13,2011,no,13.62,13.997,72,19.9995,47,47,94,pm,6,0
2011-01-01,1,winter,14,2011,no,13.62,13.997,72,19.0012,35,71,106,pm,6,0
2011-01-01,1,winter,15,2011,no,12.68,13.0004,77,19.9995,40,70,110,pm,6,0
2011-01-01,1,winter,16,2011,no,11.74,11.9972,82,19.9995,41,52,93,pm,6,0
2011-01-01,1,winter,17,2011,no,12.68,13.0004,82,19.0012,15,52,67,pm,6,0
2011-01-01,1,winter,18,2011,no,11.74,11.9972,88,16.9979,9,26,35,pm,6,0
2011-01-01,1,winter,19,2011,no,11.74,11.9972,88,16.9979,6,31,37,pm,6,0
2011-01-01,1,winter,20,2011,no,10.8,11.0006,87,16.9979,11,25,36,pm,6,0
2011-01-01,1,winter,21,2011,no,10.8,11.0006,87,12.998,3,31,34,pm,6,0
2011-01-01,1,winter,22,2011,no,10.8,11.0006,94,15.0013,11,17,28,pm,6,0
2011-01-01,1,winter,23,2011,no,13.62,13.997,88,19.9995,15,24,39,pm,6,0
2011-01-02,1,winter,0,2011,no,13.62,13.997,88,19.9995,4,13,17,am,7,0
2011-01-02,1,winter,1,2011,no,12.68,13.0004,94,16.9979,1,16,17,am,7,0
2011-01-02,1,winter,2,2011,no,11.74,11.9972,100,19.0012,1,8,9,am,7,0
2011-01-02,1,winter,3,2011,no,13.62,13.997,94,12.998,2,4,6,am,7,0
2011-01-02,1,winter,4,2011,no,13.62,13.997,94,12.998,2,1,3,am,7,0
2011-01-02,1,winter,6,2011,no,11.74,11.9972,77,19.9995,0,2,2,am,7,0
2011-01-02,1,winter,7,2011,no,10.8,11.0006,76,12.998,0,1,1,am,7,0
